key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
NVIDIA GeForce 9400M,"Geek Squad Certified Refurbished MacBook Pro 15.4"" Laptop - Intel Core 2 Duo with 4GB Memory - 250GB HDD",,,,,,2 x USB-A 3.0,Lithium-polymer,DDR3 SDRAM,,,Lithium-polymer,,Yes,,,,2009,,,,,,,,,,,No external display connection,2,,,,,,,,,,,,,,250 gigabytes,1440 x 900 (WXGA+),Integrated,5.5 pounds,Yes,,,,,,,,Yes,GSRF MC118LL/A,250 gigabytes,,400065493036,,NVIDIA GeForce 9400M,,,90 days,,,,,Yes,,,,,,,15.4 inches,1440 x 900 (WXGA+),,15.4 inches,90 days,,Be the first to write a review,,,,,,,,,Yes,,No,,,,,,No,Gold,,Yes,,"$1,439.99Your price for this item is $1,439.99",,,,250 gigabytes,,LED,Intel,No,,,,,,,,,,,,,,,,4 gigabytes,HDD,No external display connection,,,,Silver,,,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-15-4-laptop-intel-core-2-duo-with-4gb-memory-250gb-hdd-aluminium/6549303.p?skuId=6549303,P8700,2024-11-02 21:51:10,,,Intel Core 2 Duo,,,,,,,,4 gigabytes,,,Intel Core 2 Duo,,Aluminium,HDD,Mac OS,NVIDIA,,,,Apple,,,,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Pro 15.4"" Laptop - Intel Core 2 Duo with 4GB Memory - 250GB HDD - Aluminium"
Apple M2 Max 30-core,"Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Max chip - 32GB Memory - 1TB SSD",,,,,,,Lithium-ion,Not provided,,,Lithium-ion,,Yes,,,,2023,,,,,,,,,12.31 inches,,"1 x HDMI, 3 x Thunderbolt 4",,,,,,120Hz,,,,,1,120Hz,,,,3024 x 1964,Integrated,3.6 pounds,Yes,,,,,,,,,GSRF MPHK3LL/A,1000 gigabytes,"Bluetooth, Wi-Fi",400065502219,,Apple M2 Max 30-core,,,90 days,,1.0,,,Yes,Retina Display,,,1000 gigabytes,Retina Display,,14.2 inches,3024 x 1964,,14.2 inches,90 days,,(1 Review),,,,,,0.61 inches,,,Yes,,No,,8.71 inches,,,,No,Gold,,Yes,,"$2,510.99Your price for this item is $2,510.99",,,,1000 gigabytes,,,Apple,No,,,,,,,,,,,,,,,,32 gigabytes,SSD,"1 x HDMI, 3 x Thunderbolt 4",,,,Silver,,3,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-14-laptop-m2-max-chip-32gb-memory-1tb-ssd-silver/6550221.p?skuId=6550221,Apple M2 Max,2024-11-02 21:51:14,,,Apple M2 Max,,,,,,,,32 gigabytes,,,Apple M2 Max,,Silver,SSD,Mac OS,Apple,,,,Apple,,,,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - M2 Max chip - 32GB Memory - 1TB SSD - Silver"
Intel Iris Xe Graphics,Galaxy Book2 Pro 360 2-in-1 15.6” AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory – 1TB SSD,12-core,,No,,,2 x USB-A,Lithium-ion,LPDDR5,,2,Lithium-ion,,No,,21 hours,,2022,,,,1080p,,None,,,8.98 inches,,1 x Thunderbolt 4,2,None,,,Air,,,Yes,,,0,,,AKG Stereo Speakers (Max 4W x 2),,1920 x 1080 (Full HD),Integrated,3.06 pounds,Yes,,,,USB-C,No,,,Yes,NP950QED-KB1US,1000 gigabytes,"Bluetooth, Wi-Fi",887276642659,,Intel Iris Xe Graphics,,,1 year,,4.6,,,Yes,AMOLED,Yes,,1000 gigabytes,AMOLED,0,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,"(1,014 Reviews)",0,,,,,0.47 inches,No,,Yes,NVMe,yes,Yes,13.97 inches,No,,,Yes,,3.4 gigahertz,Yes,,"$1,319.99Your price for this item is $1,319.99",,Yes,,1000 gigabytes,Fingerprint reader,OLED,Intel,Yes,,,No,,4405 milliampere hours,,,,3.4 gigahertz,,,,,,,16 gigabytes,SSD,1 x Thunderbolt 4,,,,Silver,SmartThings,1,https://www.bestbuy.com/site/samsung-galaxy-book2-pro-360-2-in-1-15-6-amoled-touch-screen-laptop-intel-12th-gen-evo-core-i7-16gb-ddr5-memory-1tb-ssd-silver/6501593.p?skuId=6501593,1260P,2024-11-02 21:51:19,,,Intel 12th Generation Core i7 Evo Platform,0,,Yes,,Bixby,Yes,,16 gigabytes,4-cell,21 hours,Intel 12th Generation Core i7 Evo Platform,,Silver,SSD,Windows 11 Home,Intel,Yes,No,,Samsung,,,Dolby Atmos; Smart Amp,4.7 gigahertz,,No,,,16,Not Applicable,,0,Samsung - Galaxy Book2 Pro 360 2-in-1 15.6” AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory – 1TB SSD - Silver
Intel Graphics,"Geek Squad Certified Refurbished MacBook Pro / Intel Core i7 Processor / 15.4"" Display / 4GB Memory / 500GB Hard Drive",,,,,,,Lithium-ion,DDR3,,,Lithium-ion,,Yes,,,,2011,,,,,,,,,18.4 inches,,1 x DisplayPort,,,,,,,,,,,,,,,500 gigabytes,1440 x 900 (WXGA+),Integrated,5.5 pounds,Yes,,,,,,,,,GCRF MC721LL/A,500 gigabytes,,400065898602,,Intel Graphics,,,90 days,,,,,Yes,,,,,,,15.4 inches,1440 x 900 (WXGA+),,15.4 inches,90 Days,,Be the first to write a review,,,,,,,,,Yes,,No,,14.3 inches,,,,No,Gold,,Yes,,"$1,999.99Your price for this item is $1,999.99",,,,500 gigabytes,,LED,Intel,No,,,,,,,,,,,,,,,,4 gigabytes,HDD,1 x DisplayPort,,,,,,,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-intel-core-i7-processor-15-4-display-4gb-memory-500gb-hard-drive-aluminum/6589860.p?skuId=6589860,Intel Core i7-1068NG72,2024-11-02 21:51:24,,,Intel 10th Generation Core i7,,,,,,,,4 gigabytes,,,Intel 10th Generation Core i7,,Aluminum,HDD,Mac OS,Intel,,,,Apple,,,,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Pro / Intel Core i7 Processor / 15.4"" Display / 4GB Memory / 500GB Hard Drive - Aluminum"
Intel HD Graphics 500,"Geek Squad Certified Refurbished Neo 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",,,,,,,Lithium-ion,DDR3L,0.3 megapixels,,Lithium-ion,,No,,,,,,,,,,,,64 gigabytes,13 inches,,,,,,,,,,Yes,,,,,,Stereo speakers,,1366 x 768 (HD),,2.82 pounds,No,,,,,,,,Yes,GSRF WWNEO14C4BK64,64 gigabytes,,400064240112,,Intel HD Graphics 500,,,90 days,,,,,No,,Yes,,,,,14.1 inches,1366 x 768 (HD),,14.1 inches,90 Days,,Be the first to write a review,,,,,,0.7 inches,,,No,,No,,,,,,No,,,Yes,,$197.99Your price for this item is $197.99,,,,64 gigabytes,,,Intel,No,,,,,8000 milliampere hours,,,,,,,,,1600 megahertz,,4 gigabytes,eMMC,,,,1,,,,https://www.bestbuy.com/site/thomson-geek-squad-certified-refurbished-neo-14-1-laptop-intel-celeron-4gb-memory-64gb-emmc-black/6424011.p?skuId=6424011,N3050,2024-11-02 21:51:28,,,Intel Celeron,,,,,,,,4 gigabytes,,,Intel Celeron,,Black,eMMC,Windows 10 Home,Intel,,,,Thomson,,,,,,,,,,,,,"Thomson - Geek Squad Certified Refurbished Neo 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Black"
Intel UHD Graphics 617,"Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 128GB SSD",,Aluminum,,,,,Lithium-polymer,LPDDR3,,,Lithium-polymer,,Yes,,12 hours,,2018,,,,,,,,,12 inches,,2 x Thunderbolt 3,,None,,,,,,,,,,,,Stereo speakers,,2560 x 1600 (Retina),Integrated,2.75 pounds,Yes,,,,,,,,Yes,TI-GSRF MRE82LL/A,128 gigabytes,Wi-Fi,400064305231,,Intel UHD Graphics 617,,,90 days,,,AC,,Yes,,,,128 gigabytes,,,13.3 inches,2560 x 1600 (Retina),,13.3 inches,90 Days,,Be the first to write a review,,,,,,0.61 inches,,,Yes,,No,,8.36 inches,,,,No,Gold,1.6 gigahertz,Yes,"Force touch trackpad, Siri, Touch ID sensor",$699.99Your price for this item is $699.99,,,,128 gigabytes,,LED,Intel,No,,,,,,16 gigabytes,,,1.6 gigahertz,,,,,2133 megahertz,,8 gigabytes,SSD,2 x Thunderbolt 3,,,,Space Gray,,2,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-retina-display-intel-core-i5-8gb-memory-128gb-ssd-space-gray/6430523.p?skuId=6430523,Not provided,2024-11-02 21:51:33,,,Intel 8th Generation Core i5,,,,,,,,8 gigabytes,,12 hours,Intel 8th Generation Core i5,,Space Gray,SSD,Mac OS,Intel,No,,,Apple,,,,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 128GB SSD - Space Gray"
Intel HD Graphics 500,"Geek Squad Certified Refurbished NEO X 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",,Aluminum,,,,,Lithium-ion,DDR3L,0.3 megapixels,,Lithium-ion,,No,,,,,,,,,,,,64 gigabytes,13.1 inches,,,,,,,,,,Yes,,,,,,,,1920 x 1080 (Full HD),,3.2 pounds,No,,,,,,,,Yes,GSRF WWX14C4T64,64 gigabytes,,400064240105,,Intel HD Graphics 500,,,90 days,,,,,No,,Yes,,,,,14.1 inches,1920 x 1080 (Full HD),,14.1 inches,90 Days,,Be the first to write a review,,,,,,0.55 inches,,,No,,No,,8.83 inches,,,,No,,,Yes,,$224.99Your price for this item is $224.99,,,,64 gigabytes,,,Intel,No,,,,,8000 milliampere hours,,,,,,,,,,,4 gigabytes,eMMC,,,,,,,,https://www.bestbuy.com/site/thomson-geek-squad-certified-refurbished-neo-x-14-1-laptop-intel-celeron-4gb-memory-64gb-emmc-tungstene/6424010.p?skuId=6424010,N3050,2024-11-02 21:51:38,,,Intel Celeron,,,,,,,,4 gigabytes,,,Intel Celeron,,Tungstene,eMMC,Windows 10 Home,Intel,No,,1,Thomson,,,,,,,,,,,,,"Thomson - Geek Squad Certified Refurbished NEO X 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Tungstene"
Intel Iris Xe Graphics,"ThinkPad L13 Yoga Gen 4 13.3"" Touch-Screen Laptop -  i7-1355U with 16GB Memory - 512GB SSD",10-core,,,,,"2 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion polymer,DDR4,,,Lithium-ion polymer,,Yes,,9.35 hours,,2022,,,,,,,,,12 inches,,"1 x Thunderbolt 4, 1 x HDMI 2.1",3,,,,,60Hz,,Yes,,,1,60Hz,,,,1920 x 1200 (WUXGA),Integrated,2.92 pounds,Yes,,,,,,,,Yes,21FJ002DUS,512 gigabytes,"Bluetooth, Wi-Fi",197528744704,,Intel Iris Xe Graphics,,,3 Year Limited Warranty,,5.0,,,Yes,IPS,,,512 gigabytes,IPS,,13.3 inches,1920 x 1200 (WUXGA),,13.3 inches,3 Year Limited Warranty,,(1 Review),,,,300 nits,,0.67 inches,,,Yes,,yes,No,8.58 inches,,,,Yes,Gold,,Yes,,"$1,229.99Your price for this item is $1,229.99",,,,512 gigabytes,,,Intel,Yes,,,,,,,,Copilot,,,300 nits,,,,,16 gigabytes,SSD,"1 x Thunderbolt 4, 1 x HDMI 2.1",,,,,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-thinkpad-l13-yoga-gen-4-13-3-touch-screen-laptop-i7-1355u-with-16gb-memory-512gb-ssd-black/6561681.p?skuId=6561681,1355U,2024-11-02 21:51:42,,,Intel 13th Generation Core i7,,,No,,No,Yes,,16 gigabytes,,9.35 hours,Intel 13th Generation Core i7,,Black,SSD,Windows 11 Pro,Intel,,,,Lenovo,,,,5 gigahertz,,,,,12,,,,"Lenovo - ThinkPad L13 Yoga Gen 4 13.3"" Touch-Screen Laptop -  i7-1355U with 16GB Memory - 512GB SSD - Black"
Intel Iris Plus Graphics,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD",4-core (quad-core),Aluminum,,,,,Lithium-polymer,LPDDR4X,,,Lithium-polymer,,Yes,,10 hours,,2020,,,,720p,,,,,12 inches,,4 x Thunderbolt 3,,None,,,,,,Yes,,,,,,Stereo speakers with high dynamic range,,2560 x 1600 (Retina),Integrated,3.1 pounds,Yes,,,,Thunderbolt,,,,Yes,TI-GSRF MWP42LL/A,512 gigabytes,Wi-Fi,400064375753,,Intel Iris Plus Graphics,,,90 days,,,AC,,Yes,,,,512 gigabytes,,,13.3 inches,2560 x 1600 (Retina),,13.3 inches,90 Days,,Be the first to write a review,,,61 watts,,,0.61 inches,,,No,,No,,8.36 inches,,,,No,Gold,2 gigahertz,Yes,"Force touch trackpad, Siri, Touch ID sensor, True Tone",$899.99Your price for this item is $899.99,,,,512 gigabytes,,LED,Intel,No,,,,,,,,,2 gigahertz,,,,,3733 megahertz,,16 gigabytes,SSD,4 x Thunderbolt 3,,,,Space Gray,,4,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i5-16gb-memory-512gb-ssd-space-gray/6437575.p?skuId=6437575,Not provided,2024-11-02 21:51:47,,,Intel 10th Generation Core i5,,,,,Siri,,,16 gigabytes,,10 hours,Intel 10th Generation Core i5,,Space Gray,SSD,Mac OS,Intel,No,,,Apple,,,Wide stereo sound,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD - Space Gray"
Intel HD Graphics 500,"Geek Squad Certified Refurbished Neo 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",,,,,,,Lithium-ion,DDR3L,0.3 megapixels,,Lithium-ion,,No,,,,,,,,,,,,64 gigabytes,13 inches,,,,,,,,,,Yes,,,,,,Stereo speakers,,1366 x 768 (HD),,2.82 pounds,No,,,,,,,,Yes,GSRF WWNEO14C4PK64,64 gigabytes,,400064238218,,Intel HD Graphics 500,,,90 days,,,,,No,,Yes,,,,,14.1 inches,1366 x 768 (HD),,14.1 inches,90 Days,,Be the first to write a review,,,,,,0.7 inches,,,No,,No,,,,,,No,,,Yes,,$197.99Your price for this item is $197.99,,,,64 gigabytes,,,Intel,No,,,,,8000 milliampere hours,,,,,,,,,1600 megahertz,,4 gigabytes,eMMC,,,,1,,,,https://www.bestbuy.com/site/thomson-geek-squad-certified-refurbished-neo-14-1-laptop-intel-celeron-4gb-memory-64gb-emmc-pink/6423821.p?skuId=6423821,N3050,2024-11-02 21:51:52,,,Intel Celeron,,,,,,,,4 gigabytes,,,Intel Celeron,,Pink,eMMC,Windows 10 Home,Intel,,,,Thomson,,,,,,,,,,,,,"Thomson - Geek Squad Certified Refurbished Neo 14.1"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC - Pink"
Intel Iris Xe Graphics,GSRF Surface Laptop 5 – 13.5” Touch Screen – Intel Evo Platform Core i7 – 16GB Memory – 512GB SSD,,Aluminum,,,,1 x USB-A 3.1,Lithium-ion,LPDDR5X,,,Lithium-ion,,Yes,,18 hours,,2022,,,,720p,,,,,12.1 inches,,1 x Thunderbolt 4,2,None,,,Air,60Mhz,,Yes,0,,0,60Mhz,Multi-touch,Omnisonic Speakers,,2256 x 1504,Integrated,2.87 pounds,Yes,"Windows 11 Home, Preloaded Microsoft 365 Apps, Microsoft 365 Family 30-day trial, Xbox Game Pass Ultimate 30-day trial",,,,,,,Yes,GSRF RBG-00062,512 gigabytes,"Bluetooth, Wi-Fi",400065613922,,Intel Iris Xe Graphics,,,90 days,,,AX,,Yes,PixelSense,No,,512 gigabytes,PixelSense,0,13.5 inches,2256 x 1504,,13.5 inches,90 days,,Be the first to write a review,0,,,400 nits,,0.57 inches,No,,Yes,,No,No,8.8 inches,,,,Yes,Gold,3.4 gigahertz,Yes,,$999.99Your price for this item is $999.99,0,No,,512 gigabytes,Facial recognition,LCD,Intel,Yes,Built for Windows Ink (Active),,No,,,,None,,3.4 gigahertz,,400 nits,,,,,16 gigabytes,SSD,1 x Thunderbolt 4,,,,Tan,Cortana,1,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-5-13-5-touch-screen-intel-evo-platform-core-i7-16gb-memory-512gb-ssd-sandstone/6561392.p?skuId=6561392,1255U,2024-11-02 21:51:56,,,Intel 12th Generation Core i7 Evo Platform,,,No,,No,Yes,,16 gigabytes,,18 hours,Intel 12th Generation Core i7 Evo Platform,,Sandstone,SSD,Windows 11 Home,Intel,No,,,Microsoft,,,Omnisonic Speakers with Dolby Atmos,,Wi-Fi 6,No,None,,,,,0,Microsoft - GSRF Surface Laptop 5 – 13.5” Touch Screen – Intel Evo Platform Core i7 – 16GB Memory – 512GB SSD - Sandstone
Intel HD Graphics 615,"Refurbished MacBook® - 12"" Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage",,Aluminum,,,,,Lithium-polymer,DDR3,,,Lithium-polymer,10/100/1000,Yes,,10 hours,,2017,,,,,,,,,11.04 inches,,1 x Thunderbolt,,None,,,Air,,,,,,0,,Multi-touch,Stereo speakers,,2304 x 1440,Integrated,2.03 pounds,Yes,,,,,,,,,GSRF MNYF2LL/A,256 gigabytes,"Wi-Fi, NFC, Bluetooth",400065491971,,Intel HD Graphics 615,,,90 days,,,AC,,Yes,,No,,,,1,12 inches,2304 x 1440,,12 inches,90 days,,Be the first to write a review,,,,,,0.14 inches,,,Yes,,No,No,7.74 inches,,,,No,Gold,1.2 gigahertz,Yes,"Force touch trackpad, Siri, Touch ID sensor","$1,299.99Your price for this item is $1,299.99",,No,,256 gigabytes,,LED,Intel,No,,,No,,,,None,,1.2 gigahertz,,,,,,,8 gigabytes,UFS,1 x Thunderbolt,,,0,Gray,,1,https://www.bestbuy.com/site/apple-refurbished-macbook-12-display-intel-core-m3-8gb-memory-256gb-flash-storage-space-gray/6549197.p?skuId=6549197,Not provided,2024-11-02 21:52:01,,,Intel Core m3,,,No,,,,,8 gigabytes,,10 hours,Intel Core m3,,Space Gray,UFS,Mac OS,Intel,No,,0,Apple,,,Stereo speakers,,,,None,,,,,0,"Apple - Refurbished MacBook® - 12"" Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage - Space Gray"
Intel Iris Xe Graphics,"Geek Squad Certified Refurbished Yoga 7i 2-in-1 14"" Laptop - Intel Evo Platform Core i5 - 12GB Memory - 512GB SSD",4-core (quad-core),,,,,1 x USB-A 3.2,Lithium-polymer,DDR4,,1,Lithium-polymer,,No,,13 hours,,2021,,,,720p,,,,,14.07 inches,,2 x Thunderbolt,3,,,,Air,,,Yes,,,,,,,,1920 x 1080 (Full HD),Integrated,3.97 pounds,Yes,,,,USB-C,,,72 percent,Yes,GSRF 82BH0006US,512 gigabytes,Wi-Fi,400064709213,,Intel Iris Xe Graphics,,,90 days,,3.3,AX,,Yes,IPS,,,512 gigabytes,IPS,,14 inches,1920 x 1080 (Full HD),,14 inches,90 Days,,(10 Reviews),,,65 watts,300 nits,,0.7 inches,,,No,NVMe,No,Yes,9.36 inches,,,64-bit,Yes,,2.4 gigahertz,Yes,,$641.99Your price for this item is $641.99,,No,,512 gigabytes,Fingerprint reader,LCD,Intel,Yes,,,,,,,,Copilot,2.4 gigahertz,,300 nits,,,3200 megahertz,,12 gigabytes,SSD,2 x Thunderbolt,,,,Green,Amazon Alexa,2,https://www.bestbuy.com/site/lenovo-geek-squad-certified-refurbished-yoga-7i-2-in-1-14-laptop-intel-evo-platform-core-i5-12gb-memory-512gb-ssd-dark-moss/6470921.p?skuId=6470921,1135G7,2024-11-02 21:52:06,,,Intel 11th Generation Core i5 Evo Platform,,,Yes,,No,,,12 gigabytes,4-cell,13 hours,Intel 11th Generation Core i5 Evo Platform,,Dark Moss,SSD,Windows 10 Home,Intel,No,,,Lenovo,,,Dolby Atmos Speaker System,4.2 gigahertz,Wi-Fi 6,,,,8,,,,"Lenovo - Geek Squad Certified Refurbished Yoga 7i 2-in-1 14"" Laptop - Intel Evo Platform Core i5 - 12GB Memory - 512GB SSD - Dark Moss"
Intel Iris Xe Graphics,GSRF Surface Laptop 4 - 13.5” Touch-Screen – Intel Core i5 - 16GB Memory - 512GB Solid State Drive,4-core (quad-core),Aluminum,,,,1 x USB-A 3.1,Lithium-ion,LPDDR4X,,,Lithium-ion,,Yes,,17.5 hours,,2021,,,,720p,,,,,12.1 inches,,1 x Thunderbolt 4,1,None,,,Air,60Mhz,,Yes,0,,0,60Mhz,Multi-touch,Omnisonic Speakers,,2256 x 1504,Integrated,2.84 pounds,Yes,Windows 11 Home version 20H2 and Microsoft 365 Family 30-day trial,,,,,,,Yes,GSRF 5AI-00001,512 gigabytes,Wi-Fi,400065614295,,Intel Iris Xe Graphics,,,90 days,,,AX,,Yes,PixelSense,No,,512 gigabytes,PixelSense,0,13.5 inches,2256 x 1504,,13.5 inches,90 days,,Be the first to write a review,0,,65 watts,400 nits,,0.57 inches,No,,Yes,,No,No,8.8 inches,,,,Yes,Gold,2.4 gigahertz,Yes,,"$1,199.99Your price for this item is $1,199.99",0,No,,512 gigabytes,Facial recognition,LCD,Intel,Yes,Built for Windows Ink (Active),,No,,,,None,,2.4 gigahertz,,400 nits,,,,,16 gigabytes,SSD,1 x Thunderbolt 4,,,,Black,Cortana,1,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-4-13-5-touch-screen-intel-core-i5-16gb-memory-512gb-solid-state-drive-black-metal/6561429.p?skuId=6561429,1135G7,2024-11-02 21:52:10,,,Intel 11th Generation Core i5,,,No,,No,Yes,,16 gigabytes,,17.5 hours,Intel 11th Generation Core i5,,Black Metal,SSD,Windows 10 Home,Intel,No,,,Microsoft,,,Omnisonic Speakers with Dolby Atmos,,,No,None,,,,,0,Microsoft - GSRF Surface Laptop 4 - 13.5” Touch-Screen – Intel Core i5 - 16GB Memory - 512GB Solid State Drive - Black Metal
